Pos,ID,Name,BV,SV,Team,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts
G,1,Raya,5.8,5.8,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,4.57,4.23,4.06,3.75,4.25,3.85,4.47,4.02,3.95,4.11
G,2,Arrizabalaga,4.2,4.2,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.5,6.5,Arsenal,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,5.12,5.15,5.14,4.11,4.75,4.26,5.52,4.65,4.45,4.75
D,6,Saliba,6.0,6.0,Arsenal,54.90,71.70,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,2.98,3.94,4.53,3.66,4.26,3.81,5.05,4.20,3.99,4.26
D,7,Calafiori,5.8,5.8,Arsenal,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,4.69,4.26,4.14,3.29,4.38,3.68,4.73,3.86,4.10,4.16
D,8,J.Timber,6.1,6.1,Arsenal,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,4.83,4.24,4.25,3.45,4.45,3.77,4.82,3.89,4.11,4.21
D,10,Lewis-Skelly,5.2,5.2,Arsenal,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,1.14,1.06,1.07,0.93,1.10,0.99,1.16,1.00,1.06,1.06
D,11,White,5.4,5.4,Arsenal,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,0.73,0.67,0.69,0.60,0.70,0.64,0.74,0.65,0.66,0.68
D,12,Zinchenko,4.9,4.9,Nott'm Forest,0.00,19.50,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,0.00,0.92,2.14,2.96,3.43,2.87,3.09,2.97,2.29,3.34
D,13,Clarke,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.1,10.1,Arsenal,79.80,79.80,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,6.15,5.59,5.94,5.14,6.14,5.16,6.41,5.24,5.94,5.85
M,17,Ødegaard,7.9,7.9,Arsenal,0.00,32.70,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,0.00,1.75,4.41,3.78,4.67,4.10,4.78,3.97,4.34,4.34
M,18,Madueke,6.8,6.8,Arsenal,0.00,0.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,0.00,0.00,1.30,1.13,1.34,1.17,1.40,1.16,1.31,1.28
M,19,Martinelli,6.9,6.9,Arsenal,0.00,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,0.00,0.74,0.79,0.69,0.82,0.70,0.85,0.71,0.79,0.78
M,20,Trossard,6.9,6.9,Arsenal,78.45,72.00,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65,5.21,4.34,1.85,1.62,1.94,1.64,2.03,1.64,1.86,1.85
M,21,Rice,6.7,6.7,Arsenal,78.15,78.15,78.15,78.15,78.15,78.15,78.15,78.15,78.15,78.15,4.02,3.83,4.11,3.62,4.12,3.73,4.35,3.66,3.97,3.94
M,22,Merino,5.9,5.9,Arsenal,41.10,37.80,20.40,20.40,20.40,20.40,20.40,20.40,20.40,20.40,2.29,1.95,1.13,1.02,1.15,1.03,1.20,1.01,1.12,1.11
M,24,Nørgaard,5.2,5.2,Arsenal,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,0.23,0.22,0.24,0.22,0.24,0.22,0.24,0.22,0.23,0.23
M,25,Nwaneri,5.2,5.2,Arsenal,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,0.53,0.49,0.52,0.46,0.54,0.46,0.55,0.47,0.52,0.51
M,26,Zubimendi,5.5,5.5,Arsenal,83.10,82.50,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,3.34,3.21,3.51,3.13,3.46,3.21,3.50,3.11,3.24,3.14
M,27,Nelson,4.8,4.8,Brentford,3.45,3.45,3.45,3.45,0.00,3.45,3.45,29.25,29.25,29.25,0.17,0.17,0.16,0.19,0.00,0.16,0.18,1.46,1.46,1.48
F,30,Havertz,7.3,7.3,Arsenal,0.00,0.00,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,0.00,0.00,1.57,1.35,1.62,1.40,1.68,1.40,1.58,1.56
F,31,G.Jesus,6.4,6.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,32,Martinez,5.0,5.0,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.35,3.39,3.08,3.80,2.78,2.62,3.38,3.15,2.96,2.23
G,33,M.Bizot,4.3,4.3,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.02,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02
D,36,Cash,4.6,4.6,Aston Villa,83.10,83.10,83.10,83.10,83.10,83.10,83.10,83.10,83.10,83.10,2.22,3.57,3.38,4.18,2.90,2.83,3.49,3.13,2.55,2.12
D,37,Digne,4.5,4.5,Aston Villa,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,78.45,2.24,3.53,3.32,4.31,2.82,2.60,3.62,3.12,2.47,2.32
D,38,Konsa,4.4,4.4,Aston Villa,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,1.92,3.24,3.26,4.18,3.13,2.82,3.27,2.86,2.39,2.31
D,39,Maatsen,4.3,4.3,Aston Villa,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,14.70,0.52,0.61,0.58,0.68,0.55,0.53,0.61,0.58,0.52,0.51
D,40,Mings,4.4,4.4,Aston Villa,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45,0.65,0.93,0.94,1.17,0.94,0.87,0.94,0.84,0.76,0.76
D,41,Pau,4.3,4.3,Aston Villa,69.00,69.00,69.00,69.00,69.00,69.00,69.00,69.00,69.00,69.00,1.83,2.88,2.83,3.61,2.81,2.56,2.89,2.56,2.15,2.16
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,25.50,25.50,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,0.74,1.01,0.69,0.81,0.69,0.65,0.70,0.66,0.60,0.58
D,45,Sousa,4.0,4.0,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,47,Rogers,6.8,6.8,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,3.48,4.11,3.73,4.52,3.58,3.20,3.98,3.82,3.33,2.83
M,48,Tielemans,5.9,5.9,Aston Villa,0.00,0.00,81.90,81.90,81.90,81.90,81.90,81.90,81.90,81.90,0.00,0.00,3.56,4.34,3.66,3.50,3.72,3.63,3.28,3.14
M,50,Buendía,5.3,5.3,Aston Villa,0.00,37.80,34.50,34.50,34.50,34.50,34.50,54.30,54.30,54.30,0.00,1.93,1.64,1.91,1.59,1.46,1.76,2.66,2.34,2.04
M,52,J.Ramsey,5.3,5.3,Newcastle,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,0.87,0.79,0.73,0.74,0.83,0.91,0.80,0.80,0.75,0.83
M,53,Malen,5.1,5.1,Aston Villa,53.70,50.40,40.50,40.50,40.50,40.50,40.50,53.70,61.80,61.80,2.58,2.92,2.17,2.56,2.10,1.91,2.31,3.00,2.98,2.58
M,54,McGinn,5.4,5.4,Aston Villa,73.20,73.20,74.40,74.40,74.40,74.40,74.40,73.50,74.40,74.40,2.68,3.16,2.91,3.42,2.91,2.69,3.12,2.97,2.71,2.42
M,55,Barkley,4.8,4.8,Aston Villa,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,0.72,0.80,0.75,0.85,0.74,0.69,0.79,0.77,0.71,0.64
M,58,Kamara,4.9,4.9,Aston Villa,75.75,75.75,68.40,68.40,68.40,68.40,68.40,68.40,68.40,68.40,2.62,2.73,2.43,2.84,2.61,2.52,2.35,2.31,2.28,2.39
M,59,Onana,4.8,4.8,Aston Villa,67.20,67.20,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,2.59,2.80,1.09,1.27,1.14,1.09,1.10,1.08,1.04,1.04
M,60,Broggio,4.5,4.5,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,63,Young,4.4,4.4,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
F,64,Watkins,8.5,8.5,Aston Villa,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,3.65,4.28,3.84,4.71,3.85,3.40,4.31,4.11,3.62,2.97
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.47,3.25,3.87,3.68,3.83,3.54,3.03,4.12,3.44,3.22
G,68,Dennis,4.0,4.0,Bournemouth,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.02,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03
G,69,McKenna,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,5.0,5.0,Bournemouth,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,3.12,3.97,4.63,4.29,4.54,3.54,3.60,4.33,3.89,3.41
D,73,Smith,4.4,4.4,Bournemouth,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,0.43,0.48,0.55,0.52,0.53,0.49,0.46,0.57,0.50,0.46
D,74,Truffert,4.5,4.5,Bournemouth,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,2.50,3.28,4.53,3.96,4.09,3.18,2.92,4.64,3.41,2.83
D,75,Akinmboni,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.0,4.0,Bournemouth,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.35,1.05,1.16,1.40,1.25,1.31,1.17,1.05,1.44,1.22,1.13
D,78,J.Araujo,3.9,3.9,Bournemouth,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,0.23,0.25,0.28,0.27,0.27,0.26,0.24,0.29,0.26,0.24
D,80,Soler,4.0,4.0,Bournemouth,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,0.26,0.30,0.36,0.33,0.33,0.31,0.28,0.36,0.30,0.28
M,81,Kluivert,7.0,7.0,Bournemouth,62.10,62.10,62.10,62.10,62.10,62.10,62.10,69.60,69.60,69.60,2.77,3.14,4.06,3.48,3.55,3.41,3.15,4.54,3.67,3.35
M,82,Semenyo,8.1,8.1,Bournemouth,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,3.78,4.15,5.28,4.73,4.78,4.45,4.05,5.19,4.41,4.12
M,83,O.Dango,6.0,6.0,Brentford,62.70,62.70,62.70,62.70,74.40,62.70,62.70,0.00,0.00,0.00,3.17,3.25,3.09,3.91,3.02,3.22,3.58,0.00,0.00,0.00
M,84,Tavernier,5.5,5.5,Bournemouth,64.95,64.95,64.95,64.95,64.95,64.95,64.95,76.50,76.50,76.50,2.71,2.98,3.54,3.36,3.33,3.01,2.83,4.06,3.55,3.46
