Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
G,1,Raya,5.5,5.5,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.54,4.56,3.03,4.51,3.37,3.53,4.29,4.18,4.44,4.49,4.41,3.99
G,2,Arrizabalaga,4.5,4.5,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05
G,3,Hein,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.0,6.0,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,3.87,5.09,3.26,4.82,3.69,3.72,4.96,4.31,4.73,5.04,5.04,4.60
D,6,Saliba,6.0,6.0,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,3.63,4.75,3.14,4.53,3.51,3.52,4.71,4.24,4.49,4.85,4.75,4.31
D,7,Calafiori,5.5,5.5,Arsenal,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,1.03,1.23,0.89,1.19,1.00,1.00,1.23,1.10,1.16,1.24,1.23,1.16
D,8,J.Timber,5.5,5.5,Arsenal,48.30,48.30,48.30,48.30,48.30,48.30,48.30,48.30,48.30,48.30,48.30,48.30,1.95,2.54,1.56,2.45,1.84,1.90,2.52,2.16,2.41,2.58,2.56,2.28
D,9,Kiwior,5.5,5.5,Arsenal,8.70,8.70,8.70,8.70,8.70,8.70,8.70,8.70,8.70,8.70,8.70,8.70,0.35,0.41,0.34,0.39,0.35,0.35,0.41,0.38,0.39,0.41,0.40,0.39
D,10,Lewis-Skelly,5.5,5.5,Arsenal,67.80,67.80,67.80,67.80,67.80,67.80,67.80,67.80,67.80,67.80,67.80,67.80,2.82,3.72,2.18,3.55,2.64,2.75,3.72,3.13,3.46,3.76,3.72,3.30
D,11,White,5.5,5.5,Arsenal,42.45,42.45,42.45,42.45,42.45,42.45,42.45,42.45,42.45,42.45,42.45,42.45,1.79,2.33,1.49,2.19,1.70,1.75,2.30,1.97,2.19,2.33,2.35,2.09
D,12,Zinchenko,5.0,5.0,Arsenal,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,9.75,0.43,0.51,0.38,0.49,0.42,0.42,0.50,0.45,0.48,0.50,0.50,0.47
D,13,Clarke,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,14,Kacurri,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.0,10.0,Arsenal,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,80.10,5.10,6.48,4.52,5.89,5.10,4.84,6.37,5.14,5.89,6.11,6.47,6.08
M,17,Ødegaard,8.0,8.0,Arsenal,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,4.12,5.13,3.72,4.69,4.13,4.01,5.09,4.24,4.76,4.94,5.08,4.97
M,18,Madueke,7.0,7.0,Arsenal,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60,1.52,1.87,1.36,1.75,1.51,1.49,1.85,1.55,1.73,1.76,1.86,1.78
M,19,Martinelli,7.0,7.0,Arsenal,62.40,62.40,62.40,62.40,62.40,62.40,62.40,62.40,62.40,62.40,62.40,62.40,3.34,4.11,2.95,3.76,3.36,3.23,4.06,3.42,3.82,3.96,4.13,3.91
M,20,Trossard,7.0,7.0,Arsenal,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,14.40,0.85,1.04,0.76,0.93,0.84,0.82,1.04,0.86,0.96,0.99,1.03,0.98
M,21,Rice,6.5,6.5,Arsenal,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,82.20,3.95,4.52,3.55,4.25,3.80,3.86,4.64,3.99,4.42,4.44,4.60,4.67
M,22,Merino,6.0,6.0,Arsenal,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20,1.28,1.50,1.18,1.37,1.25,1.24,1.48,1.27,1.41,1.42,1.48,1.45
M,23,Fábio Vieira,5.5,5.5,Arsenal,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,0.21,0.26,0.20,0.24,0.22,0.21,0.25,0.22,0.24,0.25,0.25,0.24
M,24,Nørgaard,5.5,5.5,Arsenal,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,8.85,0.35,0.38,0.34,0.36,0.33,0.35,0.39,0.35,0.37,0.37,0.38,0.38
M,25,Nwaneri,5.5,5.5,Arsenal,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,20.55,1.04,1.23,0.95,1.15,1.05,1.01,1.22,1.05,1.15,1.21,1.23,1.17
M,26,Zubimendi,5.5,5.5,Arsenal,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,3.24,3.52,2.97,3.31,3.01,3.14,3.58,3.23,3.51,3.52,3.60,3.61
M,27,Nelson,5.0,5.0,Arsenal,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,0.09,0.10,0.08,0.09,0.09,0.08,0.10,0.09,0.09,0.10,0.10,0.10
M,28,Kabia,4.5,4.5,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,29,Sambi,4.5,4.5,Arsenal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
F,30,Havertz,7.5,7.5,Arsenal,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15,1.78,2.15,1.56,1.94,1.80,1.71,2.15,1.78,1.97,2.07,2.15,2.04
